Company Name|Stock Name|Filing Time|New Product|Product Description
3M|MMM|2025-03-15|3M Digital Materials Hub|Launched in 2025, this platform accelerates innovation and reduces design costs by providing digital materials solutions.
3M|MMM|2025-05-12|Peltor WS Alert XPV Headset|Introduced in late 2024, this self-charging protective communications headset enhances workplace safety by allowing clear communication while blocking out harmful noise.
3M|MMM|2024-03-24|3M™ Versaflo™ Peel-Off Visor Covers M-928|These visor covers protect against contaminants and are compatible with the M-927 Premium Visor, enhancing respiratory protection.
3M|MMM|2024-01-10|Scotch Magic Tape|Recognized as the 'Coolest Thing Made in Minnesota' in 2024, this iconic tape is known for its invisibility and ease of use.
3M|MMM|2022-03-09|3M™ Scotchcal™ Screen Printable Film 3650-114|This transparent film is designed for screen printing applications, offering durability and clarity for various signage needs.
3M|MMM|2022-10-01|3M™ Organic Vapor/Acid Gas Cartridge/Filter 60923|A respiratory protection solution that combines a cartridge and filter to safeguard against organic vapors and acid gases.
3M|MMM|2022-01-14|3M™ E-A-RLINK™ Foam Eartips 3A 420-2086|These eartips provide comfortable hearing protection with a secure fit, suitable for various industrial applications.
3M|MMM|2022-03-20|3M™ DBI-SALA® Small Series Load Arrestor 3700501|A fall protection device designed to arrest falls in confined spaces, enhancing worker safety.
3M|MMM|2022-03-20|3M™ Adhesive Transfer Tape 9485EK|This clear adhesive tape is used for bonding applications requiring high shear strength and temperature resistance.
3M|MMM|2022-03-20|3M™ Permanent Marker Quick Spin with Coil Tool Attachment Point 1500034|A durable marker designed for industrial environments, featuring a coil tool attachment for easy access.
American Express|AXP|2022-03-24|American Express Business Blueprint|A suite of financial services for small businesses, including business checking accounts and lines of credit.
American Express|AXP|2022-01-17|Kabbage Funding|A service that provides small businesses with lines of credit ranging from $1,000 to $150,000.
American Express|AXP|2021-04-30|American Express Business Checking Account|A fully digital business checking account offering a range of banking services for small businesses.
American Express|AXP|2021-09-07|Partnership with Alipay|A partnership allowing American Express cardholders to use Alipay for payments at millions of merchants in China.
American Express|AXP|2021-10-02|Enhanced U.S. Platinum Card Benefits|Enhanced travel and dining benefits for U.S. Platinum Card members, including additional statement credits.
American Express|AXP|2021-03-19|Centurion Lounge Wellness Service Changes|A new coffee bar replacing the Equinox Body Lab wellness service in the Centurion Lounge at JFK Airport.
American Express|AXP|2021-10-19|Acquisition of Tock|Acquisition of Tock, a restaurant reservation platform, to provide cardholders with exclusive dining access.
American Express|AXP|2021-11-04|Integration with Resy|Integration with Resy to offer exclusive dining benefits for American Express cardholders.
American Express|AXP|2021-11-04|Launch of Business Line of Credit|Launch of a flexible business line of credit as part of American Express Business Blueprint suite.
American Express|AXP|2021-11-04|Expansion of Merchant Services|Expansion of merchant services offerings, including vPayment and international payment solutions.
Apple Inc.|AAPL|2021-09-14|iPhone 13|The iPhone 13 features improved battery life, the A15 Bionic chip, and a smaller notch, alongside camera improvements like Cinematic mode and sensor-shift optical image stabilization.
Apple Inc.|AAPL|2021-10-18|MacBook Pro 2021|Apple introduced new 14-inch and 16-inch MacBook Pro models powered by the M1 Pro and M1 Max chips, featuring improved performance, ProMotion displays, and a redesigned chassis with more ports.
Apple Inc.|AAPL|2021-10-18|AirPods 3|The AirPods 3 offer spatial audio, adaptive EQ, longer battery life, and a more compact design compared to the previous generation, along with a new 'AirPods Pro'-like design.
Apple Inc.|AAPL|2021-09-14|Apple Watch Series 7|The Apple Watch Series 7 comes with a larger, always-on display, faster charging, and new color options, maintaining its fitness and health tracking capabilities.
Apple Inc.|AAPL|2022-09-07|iPhone 14|The iPhone 14 series includes advancements in camera capabilities, emergency satellite messaging features, and the introduction of a new dynamic island for Pro models.
Apple Inc.|AAPL|2022-03-08|iPad Air 5|The 5th generation of the iPad Air features the M1 chip, improved camera systems, and compatibility with 5G, making it much more powerful and efficient for professional and creative tasks.
Apple Inc.|AAPL|2022-06-06|Apple M2 Chip|Apple launched the M2 chip with enhanced performance and efficiency compared to the M1, debuting in the MacBook Air and 13-inch MacBook Pro.
Apple Inc.|AAPL|2023-06-05|Apple Vision Pro|The Apple Vision Pro is a new mixed-reality headset designed to offer both virtual reality (VR) and augmented reality (AR) experiences, with advanced features like spatial audio and eye tracking.
Apple Inc.|AAPL|2022-09-07|AirPods Pro 2|The second generation of AirPods Pro introduces improved active noise cancellation, enhanced sound quality, and a longer battery life, along with a new charging case with Find My feature.
Apple Inc.|AAPL|2022-10-18|HomePod Mini 2022|Apple updated its HomePod Mini in new colors and features, including improved sound quality and the ability to pair multiple devices for better audio experiences.
Amgen|AMGN|2025-03-24|Lumakras (sotorasib)|Lumakras is the first targeted therapy for tumors with any KRAS mutation, specifically designed for non-small cell lung cancer (NSCLC) patients with the KRAS G12C mutation.
Amgen|AMGN|2025-03-24|Tezspire (tezepelumab)|Tezspire received FDA approval in December 2021 for the treatment of severe asthma, offering a new option for patients with this chronic condition.
Amgen|AMGN|2025-03-24|Otezla (apremilast)|Otezla was approved for adults with plaque psoriasis of any severity level in December 2021, expanding its application beyond moderate-to-severe cases.
Amgen|AMGN|2025-03-24|Riabni (rituximab-arrx)|Riabni is a biosimilar to Rituxan, providing a more affordable option for patients requiring rituximab therapy, approved in December 2020.
Amgen|AMGN|2025-03-24|Lumykras (sotorasib)|In January 2022, Lumykras received approval in the European Union for treating KRAS G12C-mutated advanced NSCLC.
Amgen|AMGN|2025-03-24|Pavblu (aflibercept-ayyh)|Pavblu, a biosimilar to Eylea, was approved in January 2025 for treating various retinal diseases.
Amgen|AMGN|2025-03-24|Skojoy (aflibercept)|Skojoy, another biosimilar to Eylea, was approved in January 2025, providing an alternative for retinal disease treatments.
Amgen|AMGN|2025-03-24|MariTide|MariTide is a weight loss drug in late-stage trials, with a potential monthly injection option expected to launch in 2025.
Amgen|AMGN|2025-03-24|Imdelltra|Imdelltra is a novel treatment for small cell lung cancer, utilizing T-cell engagement to target cancer cells, expected in late 2024.
Amgen|AMGN|2025-03-24|Uplizna (inebilizumab)|Uplizna, approved for myasthenia gravis in September 2024, demonstrated significant improvements in daily activities for patients.
Boeing|BA|2025-03-24|Boeing 777X|An advanced version of Boeing's wide-body airliner, featuring a more spacious cabin and technology from the 787 Dreamliner, including folding wingtips for better aerodynamics.
Boeing|BA|2025-03-24|Boeing 737 MAX 10|The largest variant of the 737 MAX series, offering increased passenger capacity and improved fuel efficiency.
Boeing|BA|2025-03-24|Boeing MQ-28 Ghost Bat|An uncrewed combat aircraft developed in collaboration with the Royal Australian Air Force, designed for intelligence, surveillance, and reconnaissance missions.
Boeing|BA|2025-03-24|Boeing T-7A Red Hawk|A next-generation jet trainer developed in partnership with Saab, designed to replace the aging T-38 Talon trainer in U.S. Air Force service.
Boeing|BA|2025-03-24|Boeing F-15EX Eagle II|An advanced variant of the F-15 fighter jet, featuring modern avionics and weapons systems to enhance combat capabilities.
Boeing|BA|2025-03-24|Boeing E-7 Wedgetail|An airborne early warning and control aircraft selected by the U.S. Air Force to replace the aging E-3 AWACS fleet.
Boeing|BA|2025-03-24|Boeing X-66A|An experimental airliner developed in collaboration with NASA, featuring a Transonic Truss-Braced Wing design aimed at improving fuel efficiency.
Boeing|BA|2025-03-24|Boeing ecoDemonstrator Program|An initiative to test and validate new technologies aimed at reducing environmental impact, including sustainable fuels and noise reduction technologies.
Boeing|BA|2025-03-24|Linerless Cryogenic Tank|A new type of large, fully composite, linerless cryogenic fuel tank designed and manufactured by Boeing, tested in collaboration with NASA.
Boeing|BA|2025-03-24|Next Generation Experimental Aircraft (X-Plane)|An aircraft produced through NASA's Sustainable Flight Demonstrator program, designated by the U.S. Air Force as the X-66A, focusing on sustainable aviation technologies.
Caterpillar Inc.|CAT|2025-03-24|Cat R1700 XE LHD (Battery Electric Underground Loader)|A battery-electric underground loader designed for high productivity and reduced emissions.
Caterpillar Inc.|CAT|2025-03-24|Cat 395 Hydraulic Mining Shovel|A large hydraulic mining shovel designed for efficient material handling and high performance.
Caterpillar Inc.|CAT|2025-03-24|Cat 789D Autonomous Water Truck|An autonomous water truck for dust control and reduced operating costs.
Caterpillar Inc.|CAT|2025-03-24|Cat D8 Dozer (Next Generation)|A next-gen dozer offering advanced technology, better fuel efficiency, and improved productivity.
Caterpillar Inc.|CAT|2025-03-24|Cat 992 Wheel Loader|A high-efficiency wheel loader with improved fuel economy and productivity.
Caterpillar Inc.|CAT|2025-03-24|Cat R2900 XE LHD (Diesel-Electric Loader)|A diesel-electric loader for underground mining operations with reduced maintenance costs.
Caterpillar Inc.|CAT|2025-03-24|Cat D11 XE Dozer (Electric Drive)|The world's largest and most powerful electric drive dozer for low-cost material handling.
Caterpillar Inc.|CAT|2025-03-24|Cat MEC500 Mobile Equipment Charger|A portable mobile charger for the R1700 XE electric loader, reducing downtime.
Caterpillar Inc.|CAT|2025-03-24|Cat MH3032 Material Handler|A material handler designed for heavy-duty applications, offering enhanced lifting capabilities.
Caterpillar Inc.|CAT|2025-03-24|Cat FM528 GF/LL Forest Machine|A versatile forestry machine designed for various forest operations with high productivity.
Chevron|CVX|2025-03-24|Renewable Gasoline Blends|Chevron developed renewable gasoline blends compatible with existing vehicles, aiming to reduce lifecycle CO₂ emissions by over 40% compared to traditional gasoline.
Chevron|CVX|2025-03-24|Renewable Diesel|Sourced from biofeedstocks like used cooking oils and animal fats, Chevron's renewable diesel offers a lower carbon alternative for medium- and heavy-duty transportation.
Chevron|CVX|2025-03-24|Compressed Natural Gas (CNG)|Chevron expanded its CNG offerings, operating over two dozen CNG stations in California to provide a cleaner fuel option for heavy transportation.
Chevron|CVX|2025-03-24|Hydrogen Fueling Infrastructure|Chevron partnered with Iwatani to co-develop and construct 30 hydrogen fueling sites in California by 2026, enhancing hydrogen availability for transportation.
Chevron|CVX|2025-03-24|Collaboration with Caterpillar on Hydrogen Demonstration Projects|Chevron and Caterpillar announced a collaboration to develop hydrogen demonstration projects in transportation and stationary power applications, including a hydrogen locomotive prototype.
Chevron|CVX|2025-03-24|Investment in Hydrogenious|Chevron invested in Hydrogenious in 2021, a company specializing in bulk hydrogen storage and transportation technology, aiming to improve hydrogen logistics.
Chevron|CVX|2025-03-24|Acquisition of Renewable Energy Group (REG)|Chevron acquired REG, a leading biodiesel production company, to enhance its renewable fuels portfolio.
Chevron|CVX|2025-03-24|Partnership with Engine No. 1 and GE Vernova for Data Center Power|Chevron partnered with Engine No. 1 and GE Vernova
Cisco Systems|CSCO|2021-05-03|Cisco Secure Client|An enhanced single agent integrating user, endpoint, and cloud protection technologies.
Cisco Systems|CSCO|2021-05-03|Cisco Plus|A flexible, consumption-based model offering networking and hybrid cloud solutions as-a-service.
Cisco Systems|CSCO|2021-10-26|Webex AI Agent|An AI-powered tool providing self-service options to enhance customer satisfaction.
Cisco Systems|CSCO|2021-10-26|Webex AI Agent Studio|A platform enabling businesses to create custom AI agents for streamlined operations.
Cisco Systems|CSCO|2021-10-26|Webex AI Assistant|An assistant offering features like conversation summaries and response suggestions.
Cisco Systems|CSCO|2021-10-26|Agent Wellness Tools|Tools designed to manage call center stress by scheduling breaks and adjusting workloads.
Cisco Systems|CSCO|2022-10-12|Webex Integration with Microsoft Teams|A partnership integrating Microsoft Teams with Cisco's meeting devices.
Cisco Systems|CSCO|2023-02-24|Acquisition of Valtix|Acquisition of a cloud-native security company to enhance security solutions.
Cisco Systems|CSCO|2023-03-29|Acquisition of Lightspin|Acquisition aimed at bolstering cloud security capabilities.
Cisco Systems|CSCO|2023-05-31|Acquisition of Armorblox|Acquisition to enhance cybersecurity offerings with AI-driven solutions.
The Coca-Cola Company|KO|2021-01-01|Coca-Cola with Coffee|A blend of classic Coca-Cola and rich coffee flavors.
The Coca-Cola Company|KO|2021-02-01|Topo Chico Hard Seltzer|A sparkling hard seltzer available in various flavors.
